Stock,MSE Linear (Train),MSE RLS (Train),MSE Linear (Test),MSE RLS (Test)
Stock: A,0.1341936780502103,0.10458049947641314,0.15109884446498256,0.11509583058083848
Stock: AA,0.11039908154767415,0.09382155738547589,0.1194293431166218,0.0869453331583434
Stock: AACG,0.0025624846231215945,0.0034104120423312356,0.0014653980662259938,0.001938718248094045
Stock: AAL,0.09601844489308613,0.08114915333023189,0.12628176405844888,0.09800933069033373
Stock: AAMC,46.43360395477464,35.44195513743004,0.4713367629808473,0.351568764835881
Stock: AAME,0.005608590341614885,0.00383061028927668,0.0038366167902044138,0.002458476535324055
Stock: AAN,0.010207941598952221,0.004971099191040139,0.1625234355569395,0.07690260524641426
Stock: AAOI,0.2102521851842127,0.17260933002278137,0.03553192781834598,0.029152354730799017
Stock: AAON,0.005325016136860541,0.004373155985588181,0.11758237727559782,0.08416143843364844
