Stock_Name,Feature_Vector,MSE,MAPE
XCUR,Close,1.0052269484593217,326057804765.88354
PDD,Close,1.0069986110100568,4825293495930.937
CHCO,Close,0.9999792744448446,462210061179.89856
BBIO,Close,1.0861401547485763,47406492707787.23
LBTYK,Close,2.4703328326815344,32037587734727.715
IMAB,Close,1.6045806900102602,135108074720462.1
SPOK,Close,2.0880682302131373,0.19594805295893045
SPLP,Close,1.020054376735525,2182922690158.1577
TPR,Close,1.0036573705361638,1838158350295.2546
TSI,Close,1.000129989267283,453722493187.3509
DVN,Close,1.1242121100930775,12354457281292.873
SACC,Close,1.127110056275435,1.7595322548468477
MGEE,Close,1.0001904753743032,151241633987.0379
MNCLU,Close,1.0405575898991226,0.10526315789473684
AMSC,Close,1.0029887463596705,2811365275642.8296
SVT,Close,1.0350155591859196,40048878188406.52
STK,Close,1.1525708019235121,12125023058709.568
XLRN,Close,1.0013590600296536,0.9971456425801575
SWP,Close,1.0000734737404786,7998686189783.115
DTQ,Close,0.9999040858133451,131777885888.68137
SCYX,Close,1.0173018248858308,2513972228641.6323
AIH,Close,1.0595734293039438,32168691480285.305
MN,Close,3.6220814106576653,57903368559473.0
LOVE,Close,1.080788104555934,1.3657559907659462
ASYS,Close,1.1329350984910993,0.2569103376354458
VIR,Close,11.90010825948304,5.716761734244901
INSE,Close,0.9996299259421386,29539353766.86129
SVC,Close,2.661988866427427,59096479652066.87
DTF,Close,1.3210849995152256,0.07046772058565971
HAFC,Close,1.0006811083922402,453080745070.2311
BTAI,Close,1.0070458369798685,3464304101849.6553
VIE,Close,1.0131909974687263,4.394483590398058
AGM-A,Close,1.0001572438039348,6703583398578.724
CR,Close,1.1315157079678395,8850285525570.814
DPHC,Close,1.0076218952507585,23943165166251.113
ADTN,Close,2.899449472966905,0.431295380435472
BFRA,Close,1.0089787105856052,10368427172034.965
JVA,Close,2.72232664111366,0.2575092819614263
SAND,Close,1.0000011552793342,157914101025.642
DXR,Close,2.521421894836595,0.42255357164609125
JNCE,Close,1.0538087477017932,6141402345970.449
CEQP,Close,1.0195847704603325,17124033449041.096
OFLX,Close,0.9997365775894452,572945950629.8126
DRRX,Close,1.5771030839133255,0.552040500816924
NPAUU,Close,6.059135517949029,621155525675989.2
BV,Close,1.0830672276341047,16376710299649.145
MNCL,Close,1.0043222754628407,441781078463.84467
AM,Close,1.014464109011732,4710281599066.106
W,Close,1.0369910772559463,11096203623974.213
GLEO,Close,12.317648852822721,400320539539689.75
ADX,Close,1.0860120826962774,11148236326490.16
MQT,Close,1.0438155376346685,0.04724967490020199
CE,Close,1.000955901154446,350014338431.41534
ASTC,Close,113.27930517000037,10.276903277593107
MRO,Close,1.0002007780862914,48605792029.31204
DZZ,Close,1.1851608867684642,13333012497247.684
HOV,Close,1.0010390900501296,2634470926404.115
NBIX,Close,1.0001670349456209,82612049915.59467
EVTC,Close,1.006953593404375,1029054669692.0673
OCSI,Close,1.680196452000973,49299947298188.95
WHLRD,Close,1.0016825958357596,26184318061544.95
VYGR,Close,1.1204598226040872,0.2526330919306769
HMI,Close,1.3542134643901023,137957333040955.61
